"","Fecha","GENERAL","Alimentos y bebidas no alcohólicas","Alimentos","Pan y cereales (ND)","Carne (ND)","Pescado (ND)","Leche, queso y huevos (ND)","Aceites y grasas (ND)","Frutas (ND)","Legumbres-Hortalizas (ND)","Azúcar, mermelada, miel, chocolate y dulces de azúcar (ND)","Productos alimenticios n.e.p. (ND)","Bebidas no alcohólicas","Café, té y cacao (ND)","Aguas minerales, refrescos, jugos de frutas y de legumbres (ND)","Bebidas alcohólicas, tabaco y estupefacientes","Bebidas alcohólicas","Bebidas destiladas (ND)","Cerveza (ND)","Tabaco","Tabaco (ND)","Prendas de vestir y calzado","Prendas de vestir","Materiales para prendas de vestir (SD)","Prendas de vestir (SD)","Otros artículos y accesorios de vestir (SD)","Limpieza, reparación y alquiler de prendas de vestir (S)","Calzado","Zapatos y otros calzados (SD)","Reparación y alquiler de calzado (S)","Alojamiento, agua, electricidad, gas y otros combustibles","Alquileres efectivos del alojamiento","Alquileres efectivos pagados por los inquilinos (S)","Conservación y reparación de la vivienda","Materiales para la conservación y la reparación de la vivienda (ND)","Suministro de agua y servicios diversos relacionados con la vivienda","Suministro de agua (ND)","Electricidad, gas y otros combustibles","Electricidad (ND)","Gas (ND)","Muebles, artículos para el hogar y para la conservación ordinaria del hogar","Muebles y accesorios, alfombras y otros materiales para pisos","Muebles y accesorios (D)","Productos textiles para el hogar","Productos textiles para el hogar (SD)","Artefactos para el hogar","Artefactos para el hogar grandes, eléctricos o no (D)","Artefactos eléctricos para el hogar pequeños (SD)","Artículos de vidrio y cristal, vajilla y utensilios para el hogar","Artículos de vidrio y cristal, vajilla y utensilios para el hogar (SD)","Herramientas y equipo para el hogar y el jardín","Herramientas pequeñas y accesorios diversos (SD)","Bienes y servicios para conservación ordinaria del hogar","Bienes para el hogar no duraderos (ND)","Salud","Productos, artefactos y equipo médicos","Productos farmacéuticos (ND)","Otros productos médicos (ND)","Artefactos y equipo terapéuticos (D)","Servicios para pacientes externos","Servicios médicos (S)","Servicios dentales (S)","Servicios paramédicos (S)","Servicios de hospital (S)","Servicios de hospital (S)","Transporte","Adquisición de vehículos","Vehículos a motor (D)","Bicicletas (D)","Funcionamiento de equipo de transporte personal","Piezas de repuesto y accesorios para equipo de transporte personal (SD)","Combustibles y lubricantes para equipo de transporte personal (ND)","Conservación y reparación de equipo de transporte personal (S)","Servicios de estacionamiento y peaje (S)","Servicios de transporte","Transporte de pasajeros por carretera (S)","Transporte de pasajeros por aire (S)","Comunicaciones","Servicios postales","Servicios postales (S)","Equipo telefónico y de facsímile","Equipo telefónico y de facsímile (D)","Servicios telefónicos y de facsímile","Servicios telefónicos y de facsímile (S)","Recreación y cultura","Equipo audiovisual, fotográfico y de procesamiento de información","Equipo para la recepción, grabación y reproducción de sonidos e imágenes (D)","Equipo fotográfico y cinematográfico e instrumentos ópticos (D)","Equipo de procesamiento e información (D)","Medios para grabación (SD)","Otros artículos y equipo para recreación, jardines y animales domésticos","Conservación y reparación de otros bienes duraderos importantes para recreación y cultura (S)","Equipo de deportes, campamentos y recreación al aire libre (SD)","Servicios de recreación y culturales","Servicios de recreación y deportivos (S)","Servicios culturales (S)","Periódicos, libros y papeles y útiles de oficina","Libros (SD)","Diarios y periódicos (ND)","Papel y útiles de oficina y materiales de dibujo (ND)","Educación","Enseñanza preescolar y enseñanza primaria","Enseñanza preescolar y enseñanza primaria (S)","Enseñanza secundaria","Enseñanza secundaria (S)","Enseñanza terciaria","Enseñanza terciaria (S)","Restaurantes y hoteles","Servicios de suministro de comidas por contrato","Restaurantes, cafés y establecimientos similares (S)","Servicios de alojamiento","Servicios de alojamiento (S)","Bienes y servicios diversos","Cuidado personal","Salones de peluquería y establecimientos de cuidados personales (S)","Otros aparatos, artículos y productos para la atención personal (ND)"
"1","2005-01-01",67.6319959350741,58.9368498953945,58.9511936367824,55.1067391528368,58.1298559171534,55.2720804264274,70.1357937632239,50.9974181330887,59.9151663108195,60.1623346759129,55.4532858561896,56.3117869649674,58.9910577934099,44.0412542180659,62.6061235258673,44.0778168310448,49.3639210699505,36.2441543093378,66.5005208430009,38.2431799492547,38.2431799492547,70.9971240197814,70.1997806853938,83.6203762190428,70.1603275300619,74.181038587227,65.2430680428352,73.6060165908846,73.8459159675891,62.9263503848382,75.2690500867997,65.1980609144554,65.1980609144554,62.3152269722194,61.4072831432145,71.1424325523932,70.9706967811369,92.3793933094302,93.8656010519683,84.3044139357322,66.9918461711463,65.4110768020612,65.3097385648414,70.5596817668757,70.5596817668757,77.0496865789872,76.7379238322737,77.9501906678223,59.3677595547474,59.3677595547474,38.0021633297042,36.8773493357846,67.5959923626909,65.8228456785087,77.0358127844132,95.1641269365692,96.8954578349486,57.4175941537535,90.6028388196213,64.2395224007891,62.4451754764678,76.0177277990033,64.3456872837156,74.5104723313221,74.5104723313221,79.3411283295547,79.3051567048363,78.7339612273669,80.9503478415438,69.598603971582,45.9383374586009,93.5609190245653,51.4115917029322,56.7798248198588,88.0983348202152,87.568982685052,113.19717052059,100.213853306123,31.3595332879055,31.3595332879055,151.75725030692,151.75725030692,101.089978503273,101.089978503273,86.0674893098991,125.593292316738,135.833562507723,79.3700245034525,176.140197067529,85.3121242913835,73.8445830291652,73.9160026504041,76.7119033544535,77.3365790718289,79.1268113923735,79.0321562605825,67.8667483627327,72.5843655604782,62.8579286323548,68.9467178611685,57.9432318405758,55.7425092531308,55.7425092531308,57.4872462706537,57.4872462706537,80.1726142270268,80.1726142270268,63.5760408367785,63.517052817636,63.517052817636,61.5521333366348,61.5521333366348,66.2119172085508,66.6245493241494,67.2878050145673,66.205781035836
"2","2005-02-01",67.7040535236956,58.9538237210344,58.9732197481281,55.6558934081982,57.6407148658049,54.3069108058464,70.1046888623838,50.7714528770569,60.6922336685815,60.3331739792397,55.9343741171057,55.8302613757885,58.8461148155533,43.4735990103859,62.5493179746257,44.2609821197264,49.7483794588337,37.1183703746488,66.5005208430009,38.2431799492547,38.2431799492547,71.0940447685445,70.2066513489404,84.5030596133312,70.1764197745924,72.9156450179296,65.2584166369876,73.9677354967589,74.2106246785366,63.3213550329006,75.4955399206426,65.4931136295914,65.4931136295914,63.6783523757542,62.7437943799733,71.4328940183991,71.2578545451143,92.4236278432974,93.9149886236447,84.3044139357322,66.9484178503639,65.2676187762458,65.1656450879751,70.5424563012716,70.5424563012716,77.2803587507689,77.0279128265189,77.8349068296715,59.5343927894207,59.5343927894207,38.1288772328452,37.0145090466776,67.4246297571946,65.6543676737325,77.4309999952137,95.0919694416606,96.8848185619371,58.0882036505141,90.1129521928806,64.5098124493766,62.4451754764678,76.0177277990033,65.4654840399825,75.5622640743512,75.5622640743512,79.4149900970261,79.4279734217502,78.8768779747943,79.61297682987,69.70487652452,46.4258781298269,93.5831500998206,51.3720047088509,57.8474777475449,88.0998850178455,87.568982685052,113.201666782263,101.787978977432,70.5589498977874,70.5589498977874,149.733605625781,149.733605625781,101.098484689074,101.098484689074,85.9862280251108,124.163943349738,134.350071767722,79.1992959744233,172.507326978653,84.5474881689429,73.7678764419502,73.9552583518719,76.380991675934,79.0874958141544,86.1469311944346,78.8197230531144,67.8675368176403,72.5865365648842,62.8579286323548,68.9467178611685,57.9432318405758,55.7425092531308,55.7425092531308,57.4872462706537,57.4872462706537,80.1726142270268,80.1726142270268,63.6793973501633,63.5699430781744,63.5699430781744,62.647728783682,62.647728783682,65.8693747690631,66.2820227944017,66.8546668393642,65.8891151562837
"3","2005-03-01",67.9147389782664,59.4913860186288,59.5112823143685,55.7337388760683,58.4369993906818,55.8749225968369,69.9230579925565,50.8852045184254,61.7882101080272,61.3310318802184,55.5346787105572,54.6521574341702,59.4197939383954,43.6309144710048,63.1756361611197,44.5992754451729,50.3239145457215,37.9508629941,66.7443328042731,38.2431799492547,38.2431799492547,71.1455646269902,70.2350931498536,83.9432032541268,70.1595079908699,74.9499030627535,65.5265482218395,74.0790029065677,74.3244404857934,63.3213550329006,75.8614435755716,66.2143263668025,66.2143263668025,64.5891794698674,63.6364799336474,71.4328940183991,71.2578545451143,92.4427000615781,93.9373562447507,84.3044139357322,66.7736601065758,65.3854389129841,65.2838845974016,70.5503997298163,70.5503997298163,76.6915105084979,76.3470782389206,77.8103386396089,57.7270716357304,57.7270716357304,38.3801932970695,37.2614641500606,67.3330598617806,65.5655929831605,77.3993869760802,95.0376459000118,96.9728651241575,58.1987597298126,89.2625819795765,64.4839408425568,62.3691976853882,76.0177277990033,65.6726046230239,75.5622640743512,75.5622640743512,79.4769416053306,79.4388736908986,78.880956645463,79.7558533234019,69.8636422796142,47.0949073122978,93.5817287459662,51.5618615644379,58.2448821901302,88.0998850178455,87.568982685052,113.201666782263,101.407973884277,70.5589498977874,70.5589498977874,140.578071937078,140.578071937078,101.098485506006,101.098485506006,86.3451625084063,125.475346140357,135.608428780896,78.7202295219075,176.1779098317,85.7275795201517,72.7726639672852,72.3714642375205,76.3637068764264,79.5941156740455,86.1469311944346,79.4977124253247,67.8674400763151,72.5862225679247,62.8579286323548,68.9467178611685,57.9432318405758,55.7425092531308,55.7425092531308,57.4872462706537,57.4872462706537,80.1726142270268,80.1726142270268,63.7142229875791,63.60671594763,63.60671594763,62.647728783682,62.647728783682,65.7648660006894,66.1771895554413,67.0215893550112,65.7143717751907
"4","2005-04-01",68.5927279380052,60.3732902923467,60.4641751747818,56.9413098085356,58.923484637346,56.4342023957202,70.4699647843705,50.9623639291811,60.3657302686987,65.5911182100485,55.3643514156912,55.3153584406666,59.228060118908,43.6139671922453,62.9725145422264,44.9849406643864,50.970122665561,39.0708628039967,66.7443328042731,38.2431799492547,38.2431799492547,71.0988142084899,70.183378921913,84.3897762806618,70.0683240189483,75.7331709321443,65.5263808139646,74.0236290466161,74.2680985584992,63.2732508875294,76.0748396132707,66.5109661607131,66.5109661607131,64.5712944324373,63.6186382150577,71.4328940183991,71.2578545451143,92.6748092692571,94.1973530751516,84.3044139357322,66.7444306001375,65.4989156059612,65.3976221946189,70.273477344149,70.273477344149,77.1910607158496,76.9450582737928,77.7002443352291,59.2010396886215,59.2010396886215,38.2509343947122,37.1333407095521,66.9496970582326,65.1942736795049,77.4573796848926,95.1559776471638,97.0442771551072,58.3930885940204,89.6651842798561,64.5268136242822,62.3691976853882,76.1842054496587,65.6726046230239,75.5622640743512,75.5622640743512,79.485759039445,79.4301223070177,78.880956645463,79.3120991402797,69.7816271164426,47.1459623295426,93.5979271125461,51.327539782796,58.2448821901302,88.205480188387,87.6818165562998,113.201666782263,101.145712558499,70.5589498977874,70.5589498977874,134.083852392747,134.083852392747,101.106689882507,101.106689882507,88.3574621352627,125.193084345582,135.775578823718,78.6001052202748,174.519981899645,85.7275795201517,72.04326874864,71.2267480045392,76.484918520144,79.6171009226099,86.3068343375648,79.4977124253247,72.5909387902977,82.5549996490033,62.8651797624731,71.7589452657608,63.5975068953424,62.1608039681665,62.1608039681665,62.4780810459374,62.4780810459374,87.9004086982613,87.9004086982613,63.366880233777,63.2232694685065,63.2232694685065,62.9404301600305,62.9404301600305,65.4792659631493,65.8932808308753,67.7826866351585,65.1624067613446
"5","2005-05-01",68.7420617955391,60.8393590379851,60.9743861016357,56.4183975390296,60.0999881548027,56.0989084961946,71.773110180787,50.9007201397271,58.1066086288446,68.3152731755694,55.417754341019,54.6156943399701,59.1496690917688,43.6174157873182,62.8745672727186,44.8701565016328,50.6869830675573,38.6655021931224,66.7443328042731,38.2431799492547,38.2431799492547,71.0343396472389,70.157357304974,84.5099256027097,70.0614081944142,74.2769473116287,65.6753417525301,73.8754844746153,74.113531100524,63.2732508875294,76.3592222917981,66.8792245508151,66.8792245508151,64.5712944324373,63.6186382150577,72.1106419650655,71.9278938022357,92.6758575253858,94.1983186677588,84.3044139357322,66.8156952303583,65.8898432715038,65.7873473359202,70.3233100431868,70.3233100431868,76.5447543429179,76.202966871429,77.6160077501251,59.047406520145,59.047406520145,38.2530656950622,37.1354141584128,67.2892768484252,65.5250518564062,77.348836227316,94.8849778745451,96.7358925031315,58.3930885940204,89.6651842798561,64.5268136242822,62.3691976853882,76.1842054496587,65.6726046230239,75.5622640743512,75.5622640743512,79.7271313870957,79.8901253197285,79.3713912464708,79.2579622115706,70.1469311206166,47.6417328554172,93.7323048959487,51.9066882936133,58.2448821901302,88.205480188387,87.6818165562998,113.201666782263,101.231958085172,70.5589498977874,70.5589498977874,136.593094335096,136.593094335096,101.105801278539,101.105801278539,88.0994185912415,123.612531613115,132.479722086463,78.308373853988,174.766113515779,85.7275795201517,72.448690780454,71.2591149691984,77.5139122396588,79.1034201730652,86.3068343375648,78.8251659392006,72.9338473444429,82.5773340080939,62.8651797624731,72.758892511645,63.6879371707575,62.1538933092856,62.1538933092856,62.4810747281952,62.4810747281952,88.645642493785,88.645642493785,62.8094138569453,62.6440164554486,62.6440164554486,62.966238463033,62.966238463033,65.3148133223221,65.7288240518129,67.7826866351585,64.9581667367236
"6","2005-06-01",68.6526062456695,60.5743433728479,60.667623747785,55.2131217850835,59.5554468507873,57.9433687955289,71.8031151168186,50.81908451738,56.7502490395445,69.0352983644333,55.2880499954666,54.0236920586641,59.3818019463365,44.6464077122317,62.8979206695196,44.9130797542038,50.7492266958008,38.7479720029403,66.7443328042731,38.2486948726253,38.2486948726253,70.8430529015559,70.0426683725484,84.5149297406851,69.971147451998,72.3043565762367,65.9358549091873,73.5123811713669,73.7425803360954,63.2732508875294,76.6686748433433,67.4535425357106,67.4535425357106,64.1737388009841,63.2301838441618,72.1106419650655,71.9278938022357,92.8808365327786,94.2042246103093,86.0012666915842,66.9581412301641,65.5275666128182,65.4250234178972,70.878577351695,70.878577351695,76.6321226517502,76.2893387550964,77.6866357197324,58.8482284390677,58.8482284390677,38.5258754856883,37.4035719558462,67.6372163428005,65.8639248874396,78.6613430397872,94.9475412234995,97.047564626525,58.3930885940204,86.4636981741223,67.2250549442606,67.0891780397054,76.1842054496587,65.6726046230239,77.476255141741,77.476255141741,79.9990261298098,80.2571895898746,79.7445782512848,79.2674486009672,70.7068646586483,48.9299472749549,93.7514764803721,52.9846070836644,58.3100145858239,88.205480188387,87.6818165562998,113.201666782263,99.9760939975814,70.5589498977874,70.5589498977874,116.004987804621,116.004987804621,101.03280881338,101.03280881338,88.1615149153357,123.923150439211,133.051814302978,78.9398532630463,174.045770279284,85.7275795201517,73.0942602978743,71.944013836471,78.011922356444,79.037246937445,86.3068343375648,78.737595352917,72.8052395082477,82.6047331453313,62.8651797624731,72.3133532170451,63.5760884696256,61.8971660316256,61.8971660316256,62.4810747281952,62.4810747281952,88.645642493785,88.645642493785,61.9946703393245,61.7852815689572,61.7852815689572,63.3132405249464,63.3132405249464,65.1517126480232,65.565272343927,66.2859138763199,65.1352436751133
"7","2005-07-01",68.5030366989169,59.9179337288459,59.9526692888876,54.1986884633647,58.9031415935249,58.6053371294188,71.2745309199463,50.8298259358222,56.765107837361,66.5652401737717,55.0617044520707,55.2075434762231,59.5982237250162,45.4246262065769,62.9691490252463,45.0071009466287,50.9435100515966,39.1777216156302,66.7443328042731,38.2486948726253,38.2486948726253,70.9148892461203,70.1300202948771,85.318033009541,70.0253500814857,71.1340564174321,66.5715846633106,73.5459993170253,73.7831181507212,62.923048542494,76.9395424519545,67.8991370126619,67.8991370126619,65.1600973555711,64.1977866055922,72.1106419650655,71.9278938022357,92.9883942033065,94.1458704808915,87.0518044564154,67.1029387586611,65.6852865047258,65.5824281301766,70.7882660796233,70.7882660796233,76.9625384623768,76.6074035443059,78.0918397012095,58.8552044325181,58.8552044325181,38.2816792904768,37.1657086521381,67.8195219769995,66.0387979137591,78.7325274865393,95.2090643869671,97.3260841900098,58.3930885940204,86.5016974590341,67.1529013729413,67.1097355217906,75.8558952312377,65.6655486018595,77.476255141741,77.476255141741,80.0094319134994,80.2518782325205,79.7329151543482,79.4593302628391,70.7195468999192,49.0705158564702,93.7567907141326,52.9409314831599,61.9601830647425,88.2101494069862,87.6818165562998,113.229896693634,100.000029241008,70.5589498977874,70.5589498977874,116.542432291691,116.542432291691,101.017675766543,101.017675766543,88.6301919539333,124.26259313659,133.274919316081,79.1967033204074,175.1958162198,85.6863716499219,72.0227425446302,70.0349056442616,78.7706074390589,81.9395578091463,89.7764476271816,80.8007794017937,72.8089306728702,82.6105072534935,62.8651797624731,72.3133532170451,63.5760884696256,61.8971660316256,61.8971660316256,62.4810747281952,62.4810747281952,88.645642493785,88.645642493785,61.9547925180336,61.7550476985776,61.7550476985776,63.0579464202995,63.0579464202995,64.662723348675,65.0692651117273,65.3182790251434,64.7572143902288
"8","2005-08-01",68.4768682104716,59.541049397505,59.555185743484,54.7855399030917,57.8876568359596,57.1030333998104,71.274935572854,50.9658427820962,56.9047045646947,65.2425853441777,56.1194876833352,54.0901904937421,59.4323072619892,46.1174556577808,62.5875969151668,44.9778019117009,50.8763684600606,39.0688915889415,66.7443328042731,38.2486948726253,38.2486948726253,70.5995114048497,70.2702585841978,85.1324926509365,70.188790227736,71.1742051212771,66.5744741185259,71.858897555912,72.0580593983102,63.0960137632538,77.239266860979,68.1552404715993,68.1552404715993,68.0263468885969,67.0042426133331,72.6431590385423,72.4543540387763,92.985886784565,94.1426256884424,87.053858532425,67.1145351706997,65.8272189739583,65.7236055298609,70.7143537215721,70.7143537215721,76.8615507284934,76.5140521913913,77.9157630447387,58.9739958914376,58.9739958914376,38.1073351806638,36.9919337723804,67.8844020878832,66.1026279216254,78.2958526933999,93.7193877327334,95.6676259741419,59.271414662863,86.3037650847043,67.7069437846455,68.0304319218526,75.8055462100505,65.6655486018595,77.476255141741,77.476255141741,80.0190565179841,79.9819023866624,79.9318977815567,74.6005294574186,70.7150206630679,49.0152984207496,93.757602363891,52.9412578581651,61.9601830647425,88.2644458066107,87.6818165562998,114.079618467328,100.486708428224,70.5589498977874,70.5589498977874,125.6129494255,125.6129494255,101.015535786123,101.015535786123,89.0330941427225,126.027316057381,135.804149737855,78.800985381975,179.781098592861,85.2366684593207,72.2494324360573,70.3893414242055,78.6635218430044,82.0399105450631,89.7764476271816,80.9334874419599,72.810146774518,82.6138557798459,62.8651797624731,72.3133532170451,63.5760884696256,61.8971660316256,61.8971660316256,62.4810747281952,62.4810747281952,88.645642493785,88.645642493785,62.9819336381644,62.8208117720792,62.8208117720792,63.0579464202995,63.0579464202995,64.65812414632,65.0651151913933,65.3190887105571,64.7552809268504
"9","2005-09-01",68.6729167732512,59.6416610609105,59.662856510034,53.8448650169075,57.4583455288296,57.8242064452988,72.9347313252706,50.8066551384003,56.9549134497194,65.7955540241988,55.486679853998,54.8497365803142,59.5688268568441,46.3981044706197,62.6882429429597,44.9599729490344,50.7820371092858,38.9516396132463,66.7443328042731,38.2805951787274,38.2805951787274,70.5148994631379,70.1493852824055,85.7236765065018,70.0617753715807,72.0177641939699,65.9221998257173,71.8726531657203,72.0508848879889,64.0867479796566,77.4353273112154,68.4789038089848,68.4789038089848,68.0125095282314,66.9906637105166,72.6431590385423,72.4543540387763,93.1578846388689,94.1764497220153,88.2710752306336,66.8867239755107,65.8439369017972,65.7402637692328,69.9898739766418,69.9898739766418,76.8747974524936,76.5165945802872,77.9862151768776,58.9494264367294,58.9494264367294,38.3176420580493,37.1985877438521,67.4882327327306,65.7196207806171,78.321745950745,93.7699136570207,95.7090187198825,59.2280458051722,86.7228918694204,67.7064660915713,68.0304319218526,75.8008029564052,65.6655486018595,77.476255141741,77.476255141741,80.4168381930076,80.5363935117948,80.4790978146249,74.7366092757398,71.2436526545224,48.8920080489522,93.7693305604318,54.2647670180088,61.9601830647425,88.3324367103136,87.7778891115141,114.079618467328,100.533567441441,70.5589498977874,70.5589498977874,126.244605556477,126.244605556477,101.012945367388,101.012945367388,89.0594989003823,123.750797959024,134.206420244136,78.7272329673228,178.250929238311,78.939324756,72.5686559563485,70.9020697675884,78.5366109515687,82.3157646673911,89.7764476271816,81.2999101685998,74.0819784354342,85.0208266727375,62.8651797624731,73.4046173675902,64.8226791824126,63.692594708595,63.692594708595,63.4205259480795,63.4205259480795,89.4742326870485,89.4742326870485,62.6794079036546,62.4559022156354,62.4559022156354,64.1602312357998,64.1602312357998,64.521357580789,64.9280657369324,65.5877153512895,64.512334920168
"10","2005-10-01",68.8195412508748,60.278355051417,60.2682720999101,53.6204906761003,58.342518979051,58.387548488711,73.4042484570626,50.5474576436925,56.5515427330854,68.3385171152388,55.345161549434,54.76732476851,60.5108955149044,45.381597068956,64.141191250005,44.8557451177146,50.5782480478811,38.4092398185389,66.7410838384964,38.2805951787274,38.2805951787274,70.6611803188325,70.3384852138895,85.6677360748291,70.2628982788869,72.3391566084043,65.9576631011977,71.917202019627,72.0966244076898,64.1162155932756,77.6420641822221,68.9164074152778,68.9164074152778,68.5535958153394,67.51946137246,72.6967903715241,72.5082281050689,93.180136231856,94.1989037685542,88.2804317265493,66.6555502699885,66.010068224178,65.9069122612548,70.0776741915223,70.0776741915223,76.1186178020636,75.7662201993181,77.1680720138276,58.5868077263018,58.5868077263018,39.5268439756357,38.3374910038999,67.0353459477903,65.2779001297998,78.6061920467245,94.2037757410597,96.1839604633871,59.4865866691134,86.6520228874979,67.0459730731744,67.2511870136762,74.4702254268853,65.6655486018595,78.8718633243913,78.8718633243913,80.4443405599837,80.6347181671978,80.5864712719551,74.4334310862807,71.2465168436139,49.8657033570909,93.744775139672,54.0869640205375,62.1587729714175,88.3354245737136,87.7814084467005,114.079618467328,100.607972627573,70.5589498977874,70.5589498977874,126.910570694742,126.910570694742,101.013595344661,101.013595344661,88.4878731236887,121.498701847644,130.257719441211,78.459211559575,176.866160405439,78.3426274529697,72.6120095081458,71.0500838986965,78.3674645785754,81.9036981669786,89.7764476271816,80.809254559345,74.088281620244,85.0208266727375,62.8651797624731,73.4229685873653,64.8230723073169,63.692594708595,63.692594708595,63.4215757466458,63.4215757466458,89.4742326870485,89.4742326870485,62.2976847832606,62.0508276418605,62.0508276418605,64.1602850213867,64.1602850213867,63.8004100626008,64.2006633939133,65.5902676255028,63.5966873696517
